Truck,TimeStamp,Longitude,Latitude
T118,05 Jun 2024 14:59:55:000,117.41901625594356,67.61006248004797
T118,05 Jun 2024 15:00:21:000,117.41506420453364,67.61057080186383
T118,05 Jun 2024 15:00:47:000,117.41374644974078,67.61181586815819
T118,05 Jun 2024 15:01:13:000,117.41388359848389,67.61195336871748
T118,05 Jun 2024 15:01:38:000,117.41401792513282,67.61195297278353
T118,05 Jun 2024 15:02:04:000,117.41355568682833,67.61234047509508
T118,05 Jun 2024 15:02:30:000,117.41362736849493,67.61256091685145
T118,05 Jun 2024 15:02:56:000,117.41390281045692,67.61289106220057
T118,05 Jun 2024 15:03:21:000,117.41464560108128,67.61308192360599
T118,05 Jun 2024 15:03:45:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:04:10:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:04:35:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:05:00:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:05:24:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:05:49:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:06:14:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:06:39:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:07:03:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:07:28:000,117.41525293739952,67.61321800758684
T118,05 Jun 2024 15:07:53:000,117.41423920623313,67.61291764420521
T118,05 Jun 2024 15:08:18:000,117.41395754444045,67.61228412563317
T118,05 Jun 2024 15:08:42:000,117.41427922512396,67.6115936356796
T118,05 Jun 2024 15:09:07:000,117.41480236335164,67.61090255022259
T118,05 Jun 2024 15:09:32:000,117.4164045302429,67.6104288866654
T118,05 Jun 2024 15:09:57:000,117.41821437171329,67.61025796403254
T118,05 Jun 2024 15:10:21:000,117.42137421909581,67.61041390701817
T118,05 Jun 2024 15:10:46:000,117.42373342248412,67.61082044381214
T118,05 Jun 2024 15:11:12:000,117.42535337253719,67.61120163225277
T118,05 Jun 2024 15:11:36:000,117.42617384324203,67.61188864275867
