Truck,Timestamp,X,Y
T118,06 Jun 2024 10:00:07:000,526423.8428,7501056.058
T118,06 Jun 2024 10:00:32:000,526306.5766,7500933.265
T118,06 Jun 2024 10:00:57:000,526066.5057,7500786.081
T118,06 Jun 2024 10:01:21:000,525983.6848,7500770.846
T118,06 Jun 2024 10:01:46:000,525983.6848,7500770.846
T118,06 Jun 2024 10:02:12:000,525823.7536,7500740.366
T118,06 Jun 2024 10:02:36:000,525583.858,7500694.642
T118,06 Jun 2024 10:03:01:000,525286.8342,7500630.559
T118,06 Jun 2024 10:03:26:000,525112.681,7500630.843
T118,06 Jun 2024 10:03:51:000,525112.8905,7500759.984
T118,06 Jun 2024 10:04:16:000,525110.3048,7500926.028
T118,06 Jun 2024 10:04:42:000,524961.9326,7500981.614
T118,06 Jun 2024 10:05:08:000,524799.3284,7501064.895
T118,06 Jun 2024 10:05:33:000,524647.9911,7501052.838
T118,06 Jun 2024 10:05:58:000,524505.2045,7501031.541
T118,06 Jun 2024 10:06:23:000,524468.0743,7501022.375
T118,06 Jun 2024 10:06:49:000,524468.0743,7501022.375
T118,06 Jun 2024 10:07:15:000,524468.0743,7501022.375
T118,06 Jun 2024 10:07:41:000,524468.0743,7501022.375
T118,06 Jun 2024 10:08:07:000,524436.664,7501019.35
T118,06 Jun 2024 10:08:33:000,524393.8625,7501034.791
T118,06 Jun 2024 10:08:59:000,524373.824,7501001
T118,06 Jun 2024 10:09:24:000,524373.824,7501001
T118,06 Jun 2024 10:09:50:000,524385.249,7501004.057
T118,06 Jun 2024 10:10:14:000,524445.2534,7501034.71
T118,06 Jun 2024 10:10:40:000,524608.0399,7501065.201
T118,06 Jun 2024 10:11:05:000,524836.4737,7501083.285
T118,06 Jun 2024 10:11:29:000,524999.0481,7500981.554
T118,06 Jun 2024 10:11:54:000,525150.2552,7500913.664
T118,06 Jun 2024 10:12:19:000,525135.7005,7500741.498
T118,06 Jun 2024 10:12:43:000,525132.7656,7500692.306
T118,06 Jun 2024 10:13:08:000,525135.5906,7500673.853
T118,06 Jun 2024 10:13:33:000,525195.4852,7500636.858
