Truck,Timestamp,X,Y
T118,06 Jun 2024 11:00:17:000,521634.1083,7501810.666
T118,06 Jun 2024 11:00:42:000,521634.1083,7501810.666
T118,06 Jun 2024 11:01:08:000,521634.1083,7501810.666
T118,06 Jun 2024 11:01:33:000,521634.1083,7501810.666
T118,06 Jun 2024 11:01:57:000,521634.1083,7501810.666
T118,06 Jun 2024 11:02:22:000,521634.1083,7501810.666
T118,06 Jun 2024 11:02:48:000,521634.1083,7501810.666
T118,06 Jun 2024 11:03:13:000,521634.1083,7501810.666
T118,06 Jun 2024 11:03:39:000,521634.1083,7501810.666
T118,06 Jun 2024 11:04:06:000,521634.1083,7501810.666
T118,06 Jun 2024 11:04:30:000,521634.1083,7501810.666
T118,06 Jun 2024 11:04:56:000,521634.1083,7501810.666
T118,06 Jun 2024 11:05:21:000,521634.1083,7501810.666
T118,06 Jun 2024 11:05:48:000,521634.1083,7501810.666
T118,06 Jun 2024 11:06:14:000,521634.1083,7501810.666
T118,06 Jun 2024 11:06:40:000,521634.1083,7501810.666
T118,06 Jun 2024 11:07:04:000,521634.1083,7501810.666
T118,06 Jun 2024 11:07:30:000,521634.1083,7501810.666
T118,06 Jun 2024 11:07:54:000,521634.1083,7501810.666
T118,06 Jun 2024 11:08:21:000,521634.1083,7501810.666
T118,06 Jun 2024 11:08:47:000,521634.1083,7501810.666
T118,06 Jun 2024 11:09:13:000,521634.1083,7501810.666
T118,06 Jun 2024 11:09:38:000,521634.1083,7501810.666
T118,06 Jun 2024 11:10:05:000,521634.1083,7501810.666
T118,06 Jun 2024 11:10:32:000,521634.1083,7501810.666
T118,06 Jun 2024 11:10:59:000,521634.1083,7501810.666
T118,06 Jun 2024 11:11:24:000,521634.1083,7501810.666
T118,06 Jun 2024 11:11:50:000,521634.1083,7501810.666
T118,06 Jun 2024 11:12:15:000,521634.1083,7501810.666
T118,06 Jun 2024 11:12:39:000,521634.1083,7501810.666
T118,06 Jun 2024 11:13:04:000,521634.1083,7501810.666
T118,06 Jun 2024 11:13:29:000,521634.1083,7501810.666
T118,06 Jun 2024 11:13:54:000,521634.1083,7501810.666
T118,06 Jun 2024 11:14:18:000,521634.1083,7501810.666
T118,06 Jun 2024 11:14:43:000,521634.1083,7501810.666
T118,06 Jun 2024 11:15:08:000,521634.1083,7501810.666
T118,06 Jun 2024 11:15:33:000,521634.1083,7501810.666
T118,06 Jun 2024 11:15:57:000,521634.1083,7501810.666
T118,06 Jun 2024 11:16:22:000,521634.1083,7501810.666
T118,06 Jun 2024 11:16:47:000,521634.1083,7501810.666
