Truck,TimeStamp,X,Y
T118,05 Jun 2024 15:41:27:000,517625.9794,7499792.511
T118,05 Jun 2024 15:41:52:000,517648.8179,7499792.485
T118,05 Jun 2024 15:42:17:000,517648.8179,7499792.485
T118,05 Jun 2024 15:42:41:000,517648.8179,7499792.485
T118,05 Jun 2024 15:43:07:000,517648.8179,7499792.485
T118,05 Jun 2024 15:43:32:000,517648.8179,7499792.485
T118,05 Jun 2024 15:43:57:000,517648.8179,7499792.485
T118,05 Jun 2024 15:44:23:000,517648.8179,7499792.485
T118,05 Jun 2024 15:44:48:000,517620.2628,7499786.368
T118,05 Jun 2024 15:45:14:000,517591.6381,7499718.754
T118,05 Jun 2024 15:45:40:000,517605.8147,7499632.644
T118,05 Jun 2024 15:46:07:000,517634.2579,7499540.367
T118,05 Jun 2024 15:46:32:000,517711.2772,7499488.008
T118,05 Jun 2024 15:46:57:000,517799.7536,7499469.458
T118,05 Jun 2024 15:47:24:000,517971.0959,7499518.458
T118,05 Jun 2024 15:47:49:000,518065.3532,7499561.396
T118,05 Jun 2024 15:48:15:000,518108.2715,7499644.366
T118,05 Jun 2024 15:48:40:000,518162.6131,7499730.397
T118,05 Jun 2024 15:49:05:000,518222.6649,7499816.421
T118,05 Jun 2024 15:49:29:000,518322.522,7499764.032
T118,05 Jun 2024 15:49:54:000,518411.003,7499748.554
T118,05 Jun 2024 15:50:19:000,518499.5277,7499769.972
T118,05 Jun 2024 15:50:44:000,518596.5618,7499745.258
T118,05 Jun 2024 15:51:09:000,518742.1607,7499748.158
T118,05 Jun 2024 15:51:34:000,518793.7072,7499880.312
T118,05 Jun 2024 15:51:58:000,518762.4192,7499975.669
T118,05 Jun 2024 15:52:24:000,518733.9745,7500061.798
T118,05 Jun 2024 15:52:49:000,518836.772,7500080.123
T118,05 Jun 2024 15:53:13:000,519022.2068,7499972.278
T118,05 Jun 2024 15:53:39:000,519287.5894,7499876.632
T118,05 Jun 2024 15:54:03:000,519350.254,7499762.786
T118,05 Jun 2024 15:54:28:000,519427.0531,7499538.229
T118,05 Jun 2024 15:54:53:000,519346.725,7499221.624
T118,05 Jun 2024 15:55:18:000,519126.723,7499068.156
T118,05 Jun 2024 15:55:43:000,518841.1206,7498957.812
T118,05 Jun 2024 15:56:08:000,518584.0871,7498862.802
T118,05 Jun 2024 15:56:32:000,518358.465,7498773.901
T118,05 Jun 2024 15:56:58:000,518064.3026,7498657.402
T118,05 Jun 2024 15:57:24:000,517964.4696,7498725.164
T118,05 Jun 2024 15:57:49:000,517893.136,7498752.919
T118,05 Jun 2024 15:58:15:000,517801.7459,7498716.127
T118,05 Jun 2024 15:58:39:000,517698.9517,7498691.645
T118,05 Jun 2024 15:59:05:000,517519.0834,7498667.251
T135,05 Jun 2024 14:59:59:000,526049.5117,7502563.346
T135,05 Jun 2024 15:00:24:000,525763.9376,7502539.226
T135,05 Jun 2024 15:00:49:000,525698.1375,7502462.465
T135,05 Jun 2024 15:01:15:000,525714.9731,7502284.099
T135,05 Jun 2024 15:01:40:000,525780.3219,7502090.278
T135,05 Jun 2024 15:02:06:000,525805.6552,7501871.924
T135,05 Jun 2024 15:02:30:000,525790.9488,7501613.665
T135,05 Jun 2024 15:02:56:000,525762.172,7501478.422
T135,05 Jun 2024 15:03:21:000,525819.1003,7501373.784
T135,05 Jun 2024 15:03:46:000,526010.2531,7501290.444
T135,05 Jun 2024 15:04:11:000,526235.571,7501151.697
T135,05 Jun 2024 15:04:35:000,526392.5369,7501114.533
T135,05 Jun 2024 15:05:00:000,526412.3964,7501040.703
T135,05 Jun 2024 15:05:25:000,526280.8396,7500908.711
T135,05 Jun 2024 15:05:50:000,525992.2498,7500770.832
T135,05 Jun 2024 15:06:15:000,525743.7883,7500725.125
T135,05 Jun 2024 15:06:40:000,525506.7481,7500679.395
T135,05 Jun 2024 15:07:05:000,525186.8802,7500612.273
T135,05 Jun 2024 15:07:31:000,524847.0205,7500539.027
T135,05 Jun 2024 15:07:56:000,524624.251,7500487.111
T135,05 Jun 2024 15:08:20:000,524369.977,7500370.671
T135,05 Jun 2024 15:08:46:000,524170.1563,7500386.358
T135,05 Jun 2024 15:09:11:000,524156.2126,7500598.541
T135,05 Jun 2024 15:09:36:000,524113.6036,7500736.974
T135,05 Jun 2024 15:10:02:000,524008.1595,7500860.13
T135,05 Jun 2024 15:10:28:000,524022.5013,7500903.155
T135,05 Jun 2024 15:10:53:000,524022.5013,7500903.155
T135,05 Jun 2024 15:11:19:000,524022.5013,7500903.155
T135,05 Jun 2024 15:11:44:000,524022.5013,7500903.155
T135,05 Jun 2024 15:12:09:000,524039.6649,7500924.652
T135,05 Jun 2024 15:12:35:000,524093.9152,7500927.643
T135,05 Jun 2024 15:13:00:000,524102.5233,7500955.303
T135,05 Jun 2024 15:13:26:000,524105.3784,7500955.298
T135,05 Jun 2024 15:13:53:000,524105.3784,7500955.298
T135,05 Jun 2024 15:14:18:000,524099.6635,7500952.232
T135,05 Jun 2024 15:14:44:000,524062.4908,7500915.392
T135,05 Jun 2024 15:15:09:000,524056.6518,7500832.382
T135,05 Jun 2024 15:15:35:000,524176.2934,7500660.006
T135,05 Jun 2024 15:16:01:000,524184.5078,7500435.532
T135,05 Jun 2024 15:16:27:000,524284.3437,7500380.03
T135,05 Jun 2024 15:16:52:000,524575.712,7500484.113
T135,05 Jun 2024 15:17:18:000,524955.5931,7500591.124
T135,05 Jun 2024 15:17:42:000,525323.9992,7500661.246
T135,05 Jun 2024 15:18:07:000,525660.9987,7500728.337
T135,05 Jun 2024 15:18:32:000,526029.4113,7500798.442
T135,05 Jun 2024 15:18:57:000,526300.9136,7500960.948
T135,05 Jun 2024 15:19:23:000,526386.7219,7501053.046
T135,05 Jun 2024 15:19:49:000,526386.7219,7501053.046
T135,05 Jun 2024 15:20:14:000,526392.4373,7501056.111
T135,05 Jun 2024 15:20:39:000,526398.1578,7501062.251
T135,05 Jun 2024 15:21:04:000,526561.0225,7501135.768
T135,05 Jun 2024 15:21:29:000,526912.2277,7501153.61
T135,05 Jun 2024 15:21:55:000,527286.3123,7501192.927
T135,05 Jun 2024 15:22:20:000,527668.9916,7501247.594
T135,05 Jun 2024 15:22:47:000,527923.2276,7501320.932
T135,05 Jun 2024 15:23:14:000,528046.3092,7501492.899
T135,05 Jun 2024 15:23:40:000,528266.205,7501520.172
T135,05 Jun 2024 15:24:06:000,528451.8343,7501544.43
T135,05 Jun 2024 15:24:32:000,528571.7673,7501553.433
T135,05 Jun 2024 15:24:59:000,528688.7883,7501531.693
T135,05 Jun 2024 15:25:25:000,528800.0815,7501500.738
T135,05 Jun 2024 15:25:52:000,528842.7766,7501429.938
T135,05 Jun 2024 15:26:18:000,528854.1971,7501429.916
T135,05 Jun 2024 15:26:44:000,528857.0522,7501429.911
T135,05 Jun 2024 15:27:09:000,528865.6176,7501429.895
T135,05 Jun 2024 15:27:36:000,528899.879,7501429.831
T135,05 Jun 2024 15:28:02:000,528899.879,7501429.831
T135,05 Jun 2024 15:28:28:000,528899.879,7501429.831
T135,05 Jun 2024 15:28:53:000,528899.879,7501429.831
T135,05 Jun 2024 15:29:19:000,528899.879,7501429.831
T135,05 Jun 2024 15:29:43:000,528899.879,7501429.831
T135,05 Jun 2024 15:30:08:000,528899.879,7501429.831
T135,05 Jun 2024 15:30:33:000,528899.879,7501429.831
T135,05 Jun 2024 15:30:58:000,528820.0159,7501473.027
T135,05 Jun 2024 15:31:22:000,528711.5723,7501500.902
T135,05 Jun 2024 15:31:47:000,528611.6881,7501525.686
T135,05 Jun 2024 15:32:12:000,528511.7583,7501525.87
T135,05 Jun 2024 15:32:37:000,528414.6553,7501510.675
T135,05 Jun 2024 15:33:02:000,528328.9843,7501501.608
T135,05 Jun 2024 15:33:27:000,528240.4695,7501498.695
T135,05 Jun 2024 15:33:52:000,528069.1224,7501477.483
T135,05 Jun 2024 15:34:16:000,527971.8589,7501373.116
T135,05 Jun 2024 15:34:42:000,527800.3146,7501241.209
T135,05 Jun 2024 15:35:07:000,527491.8833,7501195.638
T135,05 Jun 2024 15:35:32:000,527149.1985,7501153.196
T135,05 Jun 2024 15:35:58:000,526803.6765,7501119.975
T135,05 Jun 2024 15:36:22:000,526592.386,7501111.116
T135,05 Jun 2024 15:36:47:000,526443.865,7501077.547
T135,05 Jun 2024 15:37:12:000,526335.42,7501105.405
T135,05 Jun 2024 15:37:36:000,526167.0546,7501154.888
T135,05 Jun 2024 15:38:01:000,525987.3917,7501278.183
T135,05 Jun 2024 15:38:27:000,525819.0592,7501349.185
T135,05 Jun 2024 15:38:52:000,525725.04,7501469.259
T135,05 Jun 2024 15:39:17:000,525776.6013,7501570.642
T135,05 Jun 2024 15:39:41:000,525768.3225,7501742.845
T135,05 Jun 2024 15:40:07:000,525782.9621,7501961.131
T135,05 Jun 2024 15:40:31:000,525723.3448,7502167.242
T135,05 Jun 2024 15:40:57:000,525680.8577,7502373.325
T135,05 Jun 2024 15:41:23:000,525672.4958,7502496.331
T135,05 Jun 2024 15:41:47:000,525572.6104,7502527.244
T135,05 Jun 2024 15:42:13:000,525289.888,7502500.035
T135,05 Jun 2024 15:42:38:000,524935.7243,7502436.039
T135,05 Jun 2024 15:43:04:000,524590.1344,7502375.095
T135,05 Jun 2024 15:43:29:000,524241.6871,7502311.074
T135,05 Jun 2024 15:43:54:000,523921.7955,7502247
T135,05 Jun 2024 15:44:19:000,523636.1838,7502192.092
T135,05 Jun 2024 15:44:44:000,523390.5477,7502137.119
T135,05 Jun 2024 15:45:11:000,523107.7355,7502042.224
T135,05 Jun 2024 15:45:36:000,522799.2752,7501978.11
T135,05 Jun 2024 15:46:02:000,522502.2562,7501926.273
T135,05 Jun 2024 15:46:28:000,522313.6085,7501785.104
T135,05 Jun 2024 15:46:55:000,522153.6477,7501736.137
T135,05 Jun 2024 15:47:21:000,521959.6132,7501819.433
T135,05 Jun 2024 15:47:46:000,521845.3492,7501779.622
T135,05 Jun 2024 15:48:12:000,521762.5315,7501767.439
T135,05 Jun 2024 15:48:37:000,521634.0483,7501767.619
T135,05 Jun 2024 15:49:03:000,521657.0529,7501884.429
T135,05 Jun 2024 15:49:28:000,521679.9074,7501893.621
T135,05 Jun 2024 15:49:55:000,521671.3719,7501915.157
T135,05 Jun 2024 15:50:20:000,521671.3719,7501915.157
T135,05 Jun 2024 15:50:46:000,521671.3633,7501909.007
T135,05 Jun 2024 15:51:12:000,521671.3633,7501909.007
T135,05 Jun 2024 15:51:38:000,521671.3547,7501902.858
T135,05 Jun 2024 15:52:04:000,521636.985,7501826.036
T135,05 Jun 2024 15:52:29:000,521708.3089,7501785.964
T135,05 Jun 2024 15:52:56:000,521896.8077,7501825.671
T135,05 Jun 2024 15:53:21:000,522053.804,7501797.775
T135,05 Jun 2024 15:53:47:000,522262.171,7501754.43
T135,05 Jun 2024 15:54:12:000,522313.6483,7501812.777
T135,05 Jun 2024 15:54:39:000,522336.5342,7501843.493
T135,05 Jun 2024 15:55:05:000,522539.4097,7501950.817
T135,05 Jun 2024 15:55:32:000,522904.973,7502014.852
T135,05 Jun 2024 15:55:58:000,523222.0647,7502121.998
T135,05 Jun 2024 15:56:24:000,523493.402,7502180.01
T135,05 Jun 2024 15:56:50:000,523781.8777,7502241.066
T135,05 Jun 2024 15:57:16:000,523993.2345,7502283.787
T135,05 Jun 2024 15:57:42:000,524384.5288,7502360.046
T135,05 Jun 2024 15:58:08:000,524781.5328,7502433.211
T135,05 Jun 2024 15:58:35:000,525187.1065,7502506.352
T135,05 Jun 2024 15:59:02:000,525561.2246,7502548.786
T136,05 Jun 2024 15:00:09:000,524227.2356,7500373.969
T136,05 Jun 2024 15:00:34:000,524475.7015,7500428.925
T136,05 Jun 2024 15:00:59:000,524815.6555,7500563.676
T136,05 Jun 2024 15:01:24:000,525195.4852,7500636.858
T136,05 Jun 2024 15:01:49:000,525575.3236,7500713.105
T136,05 Jun 2024 15:02:15:000,525935.1653,7500780.152
T136,05 Jun 2024 15:02:39:000,526223.7027,7500887.284
T136,05 Jun 2024 15:03:04:000,526380.9961,7501043.832
T136,05 Jun 2024 15:03:29:000,526326.8548,7501105.42
T136,05 Jun 2024 15:03:54:000,526098.6211,7501207.275
T136,05 Jun 2024 15:04:18:000,525881.8098,7501312.183
T136,05 Jun 2024 15:04:43:000,525725.0298,7501463.11
T136,05 Jun 2024 15:05:08:000,525773.7615,7501579.871
T136,05 Jun 2024 15:05:34:000,525768.3584,7501764.368
T136,05 Jun 2024 15:05:59:000,525777.3284,7502007.263
T136,05 Jun 2024 15:06:24:000,525726.1898,7502161.088
T136,05 Jun 2024 15:06:49:000,525694.9657,7502271.833
T136,05 Jun 2024 15:07:14:000,525683.662,7502342.572
T136,05 Jun 2024 15:07:39:000,525678.0483,7502401.003
T136,05 Jun 2024 15:08:03:000,525675.2899,7502459.428
T136,05 Jun 2024 15:08:28:000,525672.4907,7502493.256
T136,05 Jun 2024 15:08:53:000,525709.7119,7502554.69
T136,05 Jun 2024 15:09:18:000,525743.9861,7502560.783
T136,05 Jun 2024 15:09:42:000,525883.9179,7502572.849
T136,05 Jun 2024 15:10:07:000,526095.2437,7502590.943
T136,05 Jun 2024 15:10:32:000,526360.8267,7502612.016
T136,05 Jun 2024 15:10:57:000,526649.1897,7502596.148
T136,05 Jun 2024 15:11:22:000,526926.0986,7502561.846
T136,05 Jun 2024 15:11:47:000,527117.3412,7502524.614
T136,05 Jun 2024 15:12:13:000,527362.7849,7502459.611
T136,05 Jun 2024 15:12:37:000,527679.6916,7502440.599
T136,05 Jun 2024 15:13:03:000,528045.227,7502470.689
T136,05 Jun 2024 15:13:27:000,528250.8153,7502473.389
T136,05 Jun 2024 15:13:52:000,528305.2857,7502593.207
T136,05 Jun 2024 15:14:17:000,528462.3576,7502608.293
T136,05 Jun 2024 15:14:42:000,528488.0613,7502611.32
T136,05 Jun 2024 15:15:07:000,528488.0613,7502611.32
T136,05 Jun 2024 15:15:32:000,528488.0613,7502611.32
T136,05 Jun 2024 15:15:56:000,528488.0613,7502611.32
T136,05 Jun 2024 15:16:21:000,528488.0613,7502611.32
T136,05 Jun 2024 15:16:46:000,528488.0613,7502611.32
T136,05 Jun 2024 15:17:12:000,528488.0613,7502611.32
T136,05 Jun 2024 15:17:36:000,528488.0613,7502611.32
T136,05 Jun 2024 15:18:02:000,528488.0613,7502611.32
T136,05 Jun 2024 15:18:28:000,528488.0613,7502611.32
T136,05 Jun 2024 15:18:52:000,528488.0613,7502611.32
T136,05 Jun 2024 15:19:18:000,528488.0613,7502611.32
T136,05 Jun 2024 15:19:42:000,528488.0613,7502611.32
T136,05 Jun 2024 15:20:08:000,528488.0613,7502611.32
T136,05 Jun 2024 15:20:33:000,528490.9167,7502611.315
T136,05 Jun 2024 15:20:58:000,528530.8971,7502614.316
T136,05 Jun 2024 15:21:24:000,528530.8971,7502614.316
