T118,10 Jun 2024 08:00:19:000,522316.246789594,7501634.43517158
T118,10 Jun 2024 08:00:44:000,522481.756804884,7501572.69994529
T118,10 Jun 2024 08:01:10:000,522632.97633942,7501501.75938959
T118,10 Jun 2024 08:01:34:000,522829.772229832,7501360.0297686
T118,10 Jun 2024 08:02:00:000,522918.075940428,7501221.53322922
T118,10 Jun 2024 08:02:25:000,523117.904142305,7501202.78757709
T118,10 Jun 2024 08:02:51:000,523166.399100202,7501175.04190555
T118,10 Jun 2024 08:03:16:000,523192.057940862,7501150.40508166
T118,10 Jun 2024 08:03:41:000,523157.594923113,7501015.16519116
T118,10 Jun 2024 08:04:06:000,522983.514802233,7501067.69606026
T118,10 Jun 2024 08:04:31:000,522883.642424909,7501104.74152387
T118,10 Jun 2024 08:04:56:000,522792.307634092,7501123.32495055
T118,10 Jun 2024 08:05:22:000,522783.742443452,7501123.33754476
T118,10 Jun 2024 08:05:47:000,522763.761514892,7501126.44171107
T118,10 Jun 2024 08:06:13:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:06:38:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:07:04:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:07:29:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:07:54:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:08:20:000,522743.776065976,7501126.47105287
T118,10 Jun 2024 08:08:44:000,522735.21087357,7501126.48361995
T118,10 Jun 2024 08:09:11:000,522723.79512529,7501129.57516707
T118,10 Jun 2024 08:09:35:000,522723.79512529,7501129.57516707
T118,10 Jun 2024 08:10:01:000,522723.79512529,7501129.57516707
T118,10 Jun 2024 08:10:27:000,522723.79512529,7501129.57516707
T118,10 Jun 2024 08:10:52:000,522723.79512529,7501129.57516707
T118,10 Jun 2024 08:11:18:000,522666.698327634,7501132.73358122
T118,10 Jun 2024 08:11:43:000,522623.921718459,7501166.61893606
T118,10 Jun 2024 08:12:09:000,522623.912741996,7501160.4693393
T118,10 Jun 2024 08:12:35:000,522603.882406424,7501129.75051428
T118,10 Jun 2024 08:12:59:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:13:25:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:13:51:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:14:16:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:14:42:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:15:07:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:15:32:000,522583.896953106,7501129.7796476
T118,10 Jun 2024 08:15:57:000,522606.724016804,7501120.5219547
T118,10 Jun 2024 08:16:23:000,522626.704969234,7501117.41799308
T118,10 Jun 2024 08:16:48:000,522626.704969234,7501117.41799308
T118,10 Jun 2024 08:17:13:000,522626.704969234,7501117.41799308
T118,10 Jun 2024 08:17:38:000,522669.562387726,7501138.8790024
T118,10 Jun 2024 08:18:04:000,522778.054912154,7501138.71993038
T118,10 Jun 2024 08:18:29:000,522952.150204179,7501095.4157942
T118,10 Jun 2024 08:18:56:000,523052.026929745,7501061.44468243
T118,10 Jun 2024 08:19:22:000,523134.782120605,7501033.64810142
T118,10 Jun 2024 08:19:49:000,523177.718207122,7501107.37926558
T118,10 Jun 2024 08:20:15:000,523109.311393684,7501184.3515647
T118,10 Jun 2024 08:20:40:000,522972.308820698,7501212.22851534
T118,10 Jun 2024 08:21:06:000,522829.654463288,7501280.0850269
T118,10 Jun 2024 08:21:32:000,522752.806201997,7501443.1626656
T118,10 Jun 2024 08:21:59:000,522561.580085261,7501489.56426476
T118,10 Jun 2024 08:22:26:000,522453.214239899,7501578.89092329
T118,10 Jun 2024 08:22:51:000,522364.753435756,7501612.84164253
T118,10 Jun 2024 08:23:16:000,522273.410571982,7501628.34717148
T118,10 Jun 2024 08:23:41:000,522179.216762244,7501646.93103787
T118,10 Jun 2024 08:24:07:000,522076.452852425,7501662.45172751
T118,10 Jun 2024 08:24:31:000,522008.051123596,7501748.64345728
T118,10 Jun 2024 08:24:56:000,521951.051996827,7501822.51952391
T118,10 Jun 2024 08:25:21:000,521788.530611776,7501982.63846854
T118,10 Jun 2024 08:25:46:000,521677.331621921,7502093.48717898
T118,10 Jun 2024 08:26:10:000,521480.272912577,7502059.93856065
T118,10 Jun 2024 08:26:35:000,521231.799847468,7502011.0838637
T118,10 Jun 2024 08:27:00:000,520897.64691434,7501943.89197944
T118,10 Jun 2024 08:27:25:000,520623.488894464,7501901.21160037
T118,10 Jun 2024 08:27:49:000,520569.109496136,7501802.89010827
T118,10 Jun 2024 08:28:14:000,520597.318539508,7501544.56924095
T118,10 Jun 2024 08:28:39:000,520659.832792308,7501320.02545295
T118,10 Jun 2024 08:29:04:000,520748.250444255,7501252.26177261
T118,10 Jun 2024 08:29:29:000,520833.795722402,7501172.20221582
T118,10 Jun 2024 08:29:54:000,520953.584189525,7501079.79674014
T118,10 Jun 2024 08:30:18:000,520990.570935489,7500984.42777701
T118,10 Jun 2024 08:30:43:000,520924.743315513,7500864.59929194
T118,10 Jun 2024 08:31:08:000,520958.937034873,7500815.35623907
T118,10 Jun 2024 08:31:33:000,520913.145015572,7500732.39827453
T118,10 Jun 2024 08:31:59:000,520927.419970411,7500732.37902426
T118,10 Jun 2024 08:32:24:000,520938.82748366,7500723.13921259
T118,10 Jun 2024 08:32:49:000,520938.82748366,7500723.13921259
T118,10 Jun 2024 08:33:14:000,520930.287406825,7500741.59957439
T118,10 Jun 2024 08:33:39:000,520944.649548676,7500806.1511178
