Truck,Timestamp,X,Y
T135,06 Jun 2024 15:59:54:000,526626.6467,7501111.057
T135,06 Jun 2024 16:00:20:000,526535.2847,7501111.214
T135,06 Jun 2024 16:00:46:000,526509.5786,7501105.108
T135,06 Jun 2024 16:01:11:000,526463.8661,7501086.737
T135,06 Jun 2024 16:01:38:000,526441.0099,7501077.552
T135,06 Jun 2024 16:02:03:000,526341.1301,7501105.396
T135,06 Jun 2024 16:02:29:000,526169.9044,7501151.808
T135,06 Jun 2024 16:02:54:000,525990.2468,7501278.178
T135,06 Jun 2024 16:03:19:000,525833.3194,7501339.937
T135,06 Jun 2024 16:03:45:000,525730.7043,7501441.576
T135,06 Jun 2024 16:04:11:000,525765.0784,7501509.165
T135,06 Jun 2024 16:04:37:000,525768.1178,7501619.853
T135,06 Jun 2024 16:05:03:000,525765.411,7501709.027
T135,06 Jun 2024 16:05:29:000,525777.0417,7501835.074
T135,06 Jun 2024 16:05:56:000,525765.9945,7502059.553
T135,06 Jun 2024 16:06:22:000,525697.8108,7502265.678
T135,06 Jun 2024 16:06:47:000,525678.0687,7502413.302
T135,06 Jun 2024 16:07:13:000,525661.1203,7502524.023
T135,06 Jun 2024 16:07:39:000,525498.3719,7502527.366
T135,06 Jun 2024 16:08:04:000,525175.6452,7502481.772
T135,06 Jun 2024 16:08:29:000,524835.7589,7502417.751
T135,06 Jun 2024 16:08:56:000,524490.1698,7502356.805
T135,06 Jun 2024 16:09:21:000,524230.266,7502311.092
T135,06 Jun 2024 16:09:47:000,523976.0647,7502259.216
T135,06 Jun 2024 16:10:14:000,523621.8981,7502185.964
T135,06 Jun 2024 16:10:40:000,523267.7303,7502109.63
T135,06 Jun 2024 16:11:07:000,522967.7744,7502005.535
T135,06 Jun 2024 16:11:32:000,522739.2975,7501965.899
T135,06 Jun 2024 16:11:58:000,522513.677,7501926.256
T135,06 Jun 2024 16:12:24:000,522353.6831,7501855.767
T135,06 Jun 2024 16:12:50:000,522231.0065,7501923.589
T135,06 Jun 2024 16:13:15:000,522168.482,7502126.616
T135,06 Jun 2024 16:13:41:000,522094.4076,7502240.489
T135,06 Jun 2024 16:14:06:000,521928.7888,7502231.5
T135,06 Jun 2024 16:14:32:000,521740.3324,7502225.615
T135,06 Jun 2024 16:14:58:000,521677.5852,7502274.9
T135,06 Jun 2024 16:15:23:000,521626.4818,7502484.058
T135,06 Jun 2024 16:15:48:000,521592.5862,7502748.538
T135,06 Jun 2024 16:16:13:000,521578.4933,7502880.774
T135,06 Jun 2024 16:16:39:000,521450.2601,7503068.514
T135,06 Jun 2024 16:17:05:000,521181.8795,7503090.407
T135,06 Jun 2024 16:17:30:000,520925.0152,7503182.999
T135,06 Jun 2024 16:17:56:000,520805.0864,7503183.161
T135,06 Jun 2024 16:18:22:000,520553.7133,7503112.775
T135,06 Jun 2024 16:18:47:000,520282.3466,7503036.263
T135,06 Jun 2024 16:19:12:000,520173.8366,7503033.329
T135,06 Jun 2024 16:19:39:000,520148.1418,7503036.437
T135,06 Jun 2024 16:20:04:000,520148.1418,7503036.437
T135,06 Jun 2024 16:20:30:000,520148.1418,7503036.437
T135,06 Jun 2024 16:20:56:000,520099.6355,7503064.173
T135,06 Jun 2024 16:21:21:000,520136.78,7503082.574
T135,06 Jun 2024 16:21:48:000,520133.9525,7503104.101
T135,06 Jun 2024 16:22:14:000,520136.8,7503097.948
T135,06 Jun 2024 16:22:40:000,520165.2983,7503054.864
T135,06 Jun 2024 16:23:05:000,520319.4993,7503060.812
T135,06 Jun 2024 16:23:31:000,520647.9999,7503155.697
T135,06 Jun 2024 16:23:55:000,520839.393,7503213.863
T135,06 Jun 2024 16:24:20:000,520982.1158,7503176.773
T135,06 Jun 2024 16:24:45:000,521301.8286,7503105.617
T135,06 Jun 2024 16:25:10:000,521558.6509,7502985.345
T135,06 Jun 2024 16:25:35:000,521609.7484,7502770.038
T135,06 Jun 2024 16:26:00:000,521640.8056,7502517.861
T135,06 Jun 2024 16:26:26:000,521691.8788,7502287.179
T135,06 Jun 2024 16:26:51:000,521803.1829,7502250.126
T135,06 Jun 2024 16:27:18:000,522048.732,7502246.704
T135,06 Jun 2024 16:27:43:000,522157.2148,7502234.25
T135,06 Jun 2024 16:28:08:000,522214.047,7502043.531
T135,06 Jun 2024 16:28:34:000,522299.4874,7501892.743
T135,06 Jun 2024 16:28:59:000,522365.1438,7501883.424
T135,06 Jun 2024 16:29:25:000,522547.9798,7501953.879
T135,06 Jun 2024 16:29:51:000,522867.8505,7502011.832
T135,06 Jun 2024 16:30:17:000,523127.7818,7502082.167
T135,06 Jun 2024 16:30:42:000,523299.1796,7502137.256
T135,06 Jun 2024 16:31:08:000,523476.2658,7502176.961
T135,06 Jun 2024 16:31:34:000,523639.0672,7502210.537
T135,06 Jun 2024 16:31:59:000,523784.733,7502241.062
T135,06 Jun 2024 16:32:25:000,523961.8169,7502277.686
T135,06 Jun 2024 16:32:51:000,524113.1993,7502311.274
T135,06 Jun 2024 16:33:16:000,524295.9906,7502344.812
T135,06 Jun 2024 16:33:42:000,524467.3566,7502375.29
T135,06 Jun 2024 16:34:07:000,524633.0128,7502405.775
T135,06 Jun 2024 16:34:32:000,524804.3801,7502436.25
T135,06 Jun 2024 16:34:58:000,524972.8929,7502466.727
T135,06 Jun 2024 16:35:25:000,525152.8326,7502500.258
T135,06 Jun 2024 16:35:52:000,525347.0498,7502533.764
T135,06 Jun 2024 16:36:18:000,525521.25,7502548.852
T135,06 Jun 2024 16:36:44:000,525615.4759,7502548.697
T135,06 Jun 2024 16:37:10:000,525669.7169,7502542.457
T135,06 Jun 2024 16:37:34:000,525695.2362,7502434.797
T135,06 Jun 2024 16:38:00:000,525743.3623,7502185.658
T135,06 Jun 2024 16:38:25:000,525805.7987,7501958.019
T137,06 Jun 2024 16:00:15:000,525886.5275,7500718.737
T137,06 Jun 2024 16:00:40:000,525909.0894,7500552.66
T137,06 Jun 2024 16:01:06:000,525908.7291,7500337.424
T137,06 Jun 2024 16:01:31:000,525925.6216,7500195.954
T137,06 Jun 2024 16:01:56:000,525962.5804,7500103.648
T137,06 Jun 2024 16:02:21:000,525976.8755,7500115.923
T137,06 Jun 2024 16:02:46:000,525991.1498,7500115.899
T137,06 Jun 2024 16:03:11:000,525991.1498,7500115.899
T137,06 Jun 2024 16:03:36:000,525982.5852,7500115.914
T137,06 Jun 2024 16:04:01:000,525905.5653,7500152.94
T137,06 Jun 2024 16:04:26:000,525868.7448,7500328.266
T137,06 Jun 2024 16:04:51:000,525891.8671,7500497.342
T137,06 Jun 2024 16:05:16:000,525863.667,7500706.476
T137,06 Jun 2024 16:05:41:000,525938.0203,7500780.147
T137,06 Jun 2024 16:06:06:000,526172.2499,7500850.473
T137,06 Jun 2024 16:06:31:000,526263.7303,7500921.039
T137,06 Jun 2024 16:06:56:000,526312.3547,7500973.228
T137,06 Jun 2024 16:07:21:000,526312.3547,7500973.228
T137,06 Jun 2024 16:07:46:000,526392.4373,7501056.111
