Truck,Timestamp,X,Y
T118,06 Jun 2024 08:00:12:000,517913.4699,7501535.598
T118,06 Jun 2024 08:00:45:000,517913.4699,7501535.598
T118,06 Jun 2024 08:01:18:000,517913.4699,7501535.598
T118,06 Jun 2024 08:01:51:000,517913.4699,7501535.598
T118,06 Jun 2024 08:02:24:000,517913.4699,7501535.598
T118,06 Jun 2024 08:02:57:000,517913.4699,7501535.598
T118,06 Jun 2024 08:03:30:000,517913.4699,7501535.598
T118,06 Jun 2024 08:04:03:000,517913.4699,7501535.598
T118,06 Jun 2024 08:04:36:000,517913.4699,7501535.598
T118,06 Jun 2024 08:05:09:000,517913.4699,7501535.598
T118,06 Jun 2024 08:05:42:000,517913.4699,7501535.598
T118,06 Jun 2024 08:06:15:000,517913.4699,7501535.598
T118,06 Jun 2024 08:06:48:000,517913.4699,7501535.598
T118,06 Jun 2024 08:07:21:000,517913.4699,7501535.598
T118,06 Jun 2024 08:07:54:000,517913.4699,7501535.598
T118,06 Jun 2024 08:08:27:000,517913.4699,7501535.598
T118,06 Jun 2024 08:09:00:000,517913.4699,7501535.598
T118,06 Jun 2024 08:09:33:000,517913.4699,7501535.598
T118,06 Jun 2024 08:10:06:000,517913.4699,7501535.598
T118,06 Jun 2024 08:10:39:000,517913.4699,7501535.598
T118,06 Jun 2024 08:11:12:000,517913.4699,7501535.598
T118,06 Jun 2024 08:11:45:000,517913.4699,7501535.598
T118,06 Jun 2024 08:12:18:000,517913.4699,7501535.598
T118,06 Jun 2024 08:12:51:000,517913.4699,7501535.598
T118,06 Jun 2024 08:13:24:000,517913.4699,7501535.598
T118,06 Jun 2024 08:13:57:000,517913.4699,7501535.598
T118,06 Jun 2024 08:14:30:000,517913.4699,7501535.598
T118,06 Jun 2024 08:18:54:000,517913.4699,7501535.598
T118,06 Jun 2024 08:19:27:000,517913.4699,7501535.598
T118,06 Jun 2024 08:20:00:000,517913.4699,7501535.598
T118,06 Jun 2024 08:24:40:000,517913.4699,7501535.598
T118,06 Jun 2024 08:25:09:000,517913.4699,7501535.598
T118,06 Jun 2024 08:25:34:000,517913.4699,7501535.598
T118,06 Jun 2024 08:25:59:000,517913.4699,7501535.598
T118,06 Jun 2024 08:26:26:000,517913.4699,7501535.598
T118,06 Jun 2024 08:26:51:000,517913.4699,7501535.598
T118,06 Jun 2024 08:27:16:000,517913.4699,7501535.598
T118,06 Jun 2024 08:27:41:000,517913.4593,7501526.373
T118,06 Jun 2024 08:28:06:000,517913.4593,7501526.373
T118,06 Jun 2024 08:28:32:000,517913.4593,7501526.373
T118,06 Jun 2024 08:28:57:000,517913.4593,7501526.373
T118,06 Jun 2024 08:29:23:000,517913.4593,7501526.373
T118,06 Jun 2024 08:29:49:000,517913.4593,7501526.373
T118,06 Jun 2024 08:30:14:000,517913.4593,7501526.373
T118,06 Jun 2024 08:30:39:000,517933.3637,7501455.63
T118,06 Jun 2024 08:31:05:000,517841.9573,7501418.837
T118,06 Jun 2024 08:31:30:000,517759.2115,7501465.054
T118,06 Jun 2024 08:31:56:000,517713.7606,7501668.043
T118,06 Jun 2024 08:32:20:000,517679.8098,7501941.739
T118,06 Jun 2024 08:32:46:000,517762.6919,7502012.365
T118,06 Jun 2024 08:33:11:000,517976.884,7502055.166
T118,06 Jun 2024 08:33:37:000,518173.9062,7502064.161
T118,06 Jun 2024 08:34:03:000,518239.4035,7501916.494
T118,06 Jun 2024 08:34:27:000,518542.0854,7501940.734
T118,06 Jun 2024 08:34:53:000,518884.7899,7502004.892
T118,06 Jun 2024 08:35:18:000,519264.5581,7502022.875
T118,06 Jun 2024 08:35:44:000,519578.715,7502087.053
T118,06 Jun 2024 08:36:10:000,519775.7817,7502129.85
T118,06 Jun 2024 08:36:36:000,519875.743,7502151.246
T118,06 Jun 2024 08:37:01:000,519930.0087,7502163.476
T118,06 Jun 2024 08:37:27:000,519935.7232,7502166.543
T118,06 Jun 2024 08:37:53:000,520009.9837,7502184.897
T118,06 Jun 2024 08:38:20:000,520161.3684,7502227.748
T118,06 Jun 2024 08:38:45:000,520352.736,7502276.695
T118,06 Jun 2024 08:39:11:000,520452.3993,7502070.552
T118,06 Jun 2024 08:39:37:000,520489.3063,7501910.614
T118,06 Jun 2024 08:40:02:000,520663.4905,7501922.682
T118,06 Jun 2024 08:40:27:000,520989.0679,7501983.741
T118,06 Jun 2024 08:40:52:000,521348.932,7502060.12
T118,06 Jun 2024 08:41:17:000,521645.9454,7502108.905
T118,06 Jun 2024 08:41:41:000,521780.0297,7502028.772
T118,06 Jun 2024 08:42:06:000,521971.0558,7501834.79
T118,06 Jun 2024 08:42:31:000,522027.9937,7501717.867
T118,06 Jun 2024 08:42:56:000,522153.5555,7501671.566
T118,06 Jun 2024 08:43:21:000,522321.9571,7501634.427
T118,06 Jun 2024 08:43:46:000,522484.6075,7501569.621
T118,06 Jun 2024 08:44:10:000,522632.9763,7501501.759
T118,06 Jun 2024 08:44:36:000,522829.7677,7501356.955
T118,06 Jun 2024 08:45:00:000,522915.2209,7501221.537
T118,06 Jun 2024 08:45:25:000,523112.1986,7501205.871
T118,06 Jun 2024 08:45:50:000,523174.7482,7501030.514
T118,06 Jun 2024 08:46:15:000,522977.8093,7501070.779
T118,06 Jun 2024 08:46:40:000,522815.1436,7501120.217
T118,06 Jun 2024 08:47:05:000,522812.2886,7501120.221
T118,06 Jun 2024 08:47:30:000,522812.2886,7501120.221
T118,06 Jun 2024 08:47:54:000,522812.2886,7501120.221
T118,06 Jun 2024 08:48:19:000,522795.1627,7501123.321
T118,06 Jun 2024 08:48:44:000,522760.9065,7501126.446
T118,06 Jun 2024 08:49:09:000,522695.294,7501163.44
T118,06 Jun 2024 08:49:34:000,522700.9906,7501154.207
T118,06 Jun 2024 08:49:59:000,522700.9906,7501154.207
T118,06 Jun 2024 08:50:23:000,522700.9906,7501154.207
T118,06 Jun 2024 08:50:49:000,522700.9906,7501154.207
T118,06 Jun 2024 08:51:13:000,522700.9906,7501154.207
T118,06 Jun 2024 08:51:38:000,522703.8457,7501154.203
T118,06 Jun 2024 08:52:04:000,522695.222,7501114.243
T118,06 Jun 2024 08:52:29:000,522686.6433,7501105.031
T118,06 Jun 2024 08:52:53:000,522686.6433,7501105.031
T118,06 Jun 2024 08:53:19:000,522686.6433,7501105.031
T118,06 Jun 2024 08:53:45:000,522686.6433,7501105.031
T135,06 Jun 2024 08:00:03:000,522227.7413,7501637.637
T135,06 Jun 2024 08:00:28:000,522139.2621,7501659.287
T135,06 Jun 2024 08:00:54:000,522036.498,7501674.808
T135,06 Jun 2024 08:01:19:000,522013.827,7501794.757
T135,06 Jun 2024 08:01:44:000,521876.895,7501877.971
T135,06 Jun 2024 08:02:09:000,521737.2573,7502068.805
T135,06 Jun 2024 08:02:34:000,521605.9334,7502081.288
T135,06 Jun 2024 08:02:58:000,521357.468,7502038.585
T135,06 Jun 2024 08:03:23:000,521034.739,7501974.455
T135,06 Jun 2024 08:03:48:000,520760.5595,7501916.403
T135,06 Jun 2024 08:04:13:000,520589.1897,7501873.584
T135,06 Jun 2024 08:04:38:000,520568.9831,7501707.571
T135,06 Jun 2024 08:05:04:000,520628.5493,7501412.311
T135,06 Jun 2024 08:05:30:000,520688.3018,7501258.491
T135,06 Jun 2024 08:05:54:000,520785.3378,7501230.688
T135,06 Jun 2024 08:06:20:000,520885.1332,7501132.161
T135,06 Jun 2024 08:06:46:000,521044.8792,7501030.476
T135,06 Jun 2024 08:07:11:000,521253.2597,7501002.519
T135,06 Jun 2024 08:07:36:000,521344.4602,7500885.551
T135,06 Jun 2024 08:08:01:000,521389.7843,7500627.205
T135,06 Jun 2024 08:08:27:000,521435.2641,7500482.626
T135,06 Jun 2024 08:08:53:000,521494.9793,7500310.354
T135,06 Jun 2024 08:09:18:000,521549.0816,7500208.811
T135,06 Jun 2024 08:09:44:000,521734.6712,7500223.926
T135,06 Jun 2024 08:10:09:000,521957.3531,7500223.612
T135,06 Jun 2024 08:10:34:000,522239.9966,7500229.359
T135,06 Jun 2024 08:11:00:000,522536.9327,7500247.379
T135,06 Jun 2024 08:11:26:000,522899.5323,7500265.296
T135,06 Jun 2024 08:11:52:000,523250.7455,7500304.745
T135,06 Jun 2024 08:12:18:000,523593.4144,7500356.499
T135,06 Jun 2024 08:12:43:000,523810.4309,7500383.84
T135,06 Jun 2024 08:13:10:000,523996.1154,7500457.349
T135,06 Jun 2024 08:13:36:000,524153.2186,7500509.377
T135,06 Jun 2024 08:14:03:000,524156.2606,7500629.289
T135,06 Jun 2024 08:14:28:000,524096.5071,7500758.524
T135,06 Jun 2024 08:14:53:000,524008.1738,7500869.354
T135,06 Jun 2024 08:15:18:000,524082.5094,7500936.885
T135,06 Jun 2024 08:15:43:000,524091.0697,7500933.797
T135,06 Jun 2024 08:16:09:000,524091.0697,7500933.797
T135,06 Jun 2024 08:16:35:000,524096.775,7500930.713
T135,06 Jun 2024 08:16:59:000,524110.9735,7500881.494
T135,06 Jun 2024 08:17:26:000,524130.9922,7500902.987
T135,06 Jun 2024 08:17:50:000,524136.7022,7500902.978
T135,06 Jun 2024 08:18:16:000,524136.7022,7500902.978
T135,06 Jun 2024 08:18:42:000,524130.9922,7500902.987
T135,06 Jun 2024 08:19:06:000,524082.4712,7500912.286
T135,06 Jun 2024 08:19:32:000,524050.9513,7500838.54
T135,06 Jun 2024 08:19:58:000,524173.4528,7500669.235
T135,06 Jun 2024 08:20:23:000,524181.6625,7500441.686
T135,06 Jun 2024 08:20:49:000,524261.4947,7500373.916
T135,06 Jun 2024 08:21:14:000,524544.2784,7500465.714
T135,06 Jun 2024 08:21:39:000,524898.479,7500581.992
T135,06 Jun 2024 08:22:05:000,525275.4495,7500652.101
T135,06 Jun 2024 08:22:29:000,525606.7335,7500716.128
T135,06 Jun 2024 08:22:55:000,525978.0006,7500786.23
T135,06 Jun 2024 08:23:20:000,526269.4508,7500927.179
T135,06 Jun 2024 08:23:45:000,526398.1736,7501071.476
T135,06 Jun 2024 08:24:11:000,526258.3594,7501120.91
T135,06 Jun 2024 08:24:37:000,526033.0473,7501262.732
T135,06 Jun 2024 08:25:02:000,525793.3991,7501370.752
T135,06 Jun 2024 08:25:27:000,525762.2181,7501506.095
T135,06 Jun 2024 08:25:52:000,525765.3138,7501650.606
T135,06 Jun 2024 08:26:18:000,525779.9327,7501856.593
T135,06 Jun 2024 08:26:43:000,525737.5699,7502136.471
T135,06 Jun 2024 08:27:09:000,525680.8373,7502361.025
T135,06 Jun 2024 08:27:34:000,525675.3103,7502471.727
T135,06 Jun 2024 08:27:59:000,525675.3817,7502514.775
T135,06 Jun 2024 08:28:24:000,525826.7959,7502563.72
T135,06 Jun 2024 08:28:51:000,526149.5003,7502593.926
T135,06 Jun 2024 08:29:17:000,526492.1724,7502611.792
T135,06 Jun 2024 08:29:42:000,526826.1833,7502574.319
T135,06 Jun 2024 08:30:09:000,527157.2941,7502512.245
T135,06 Jun 2024 08:30:34:000,527365.6402,7502459.606
T135,06 Jun 2024 08:31:00:000,527596.8931,7502443.822
T135,06 Jun 2024 08:31:26:000,527853.8876,7502452.585
T135,06 Jun 2024 08:31:52:000,528182.2877,7502473.514
T135,06 Jun 2024 08:32:18:000,528265.2155,7502541.009
T135,06 Jun 2024 08:32:43:000,528393.8181,7502602.269
T135,06 Jun 2024 08:33:09:000,528573.7386,7502620.386
T135,06 Jun 2024 08:33:34:000,528534.0021,7502749.602
T135,06 Jun 2024 08:34:00:000,528611.2847,7502850.927
T135,06 Jun 2024 08:34:26:000,528642.7964,7502906.215
T135,06 Jun 2024 08:34:53:000,528642.7964,7502906.215
T135,06 Jun 2024 08:35:18:000,528642.7964,7502906.215
T135,06 Jun 2024 08:35:43:000,528642.7964,7502906.215
T135,06 Jun 2024 08:36:08:000,528677.0612,7502906.152
T135,06 Jun 2024 08:36:34:000,528688.517,7502924.579
T135,06 Jun 2024 08:36:59:000,528688.517,7502924.579
T135,06 Jun 2024 08:37:24:000,528688.517,7502924.579
T135,06 Jun 2024 08:37:49:000,528688.517,7502924.579
T135,06 Jun 2024 08:38:14:000,528688.517,7502924.579
T135,06 Jun 2024 08:38:39:000,528688.517,7502924.579
