area Id,x,y,z,heading_circle,from_loc,to_loc
1567526217500,-6126340,-1114701,531212,2175,INT_13,INT_146
1567526217500,-6106956,-1110246,531171,2562,INT_13,INT_146
1567526217500,-6093692,-1106449,530946,3164,INT_13,INT_146
1567526217500,-6083530,-1102857,530755,3711,INT_13,INT_146
1567526217500,-6073058,-1098504,530742,4514,INT_13,INT_146
1567526217500,-6066603,-1095283,530742,4756,INT_13,INT_146
1569838735100,-4986527,-1250552,520767,-12816,INT_07,INT_01
1569838735100,-4982614,-1263333,520539,-13605,INT_07,INT_01
1569838735100,-4980485,-1273015,520345,-14433,INT_07,INT_01
1569838735100,-4977304,-1295876,519690,-15275,INT_07,INT_01
1569838735100,-4974409,-1325569,518842,-15377,INT_07,INT_01
1569838735100,-4971357,-1354557,517926,-15399,INT_07,INT_01
1569838735100,-4969323,-1370810,517410,-14913,INT_07,INT_01
1569838735100,-4965488,-1395128,516790,-14594,INT_07,INT_01
1569838735100,-4963618,-1403519,516657,-13633,INT_07,INT_01
1569838735100,-4962161,-1408346,516601,-13078,INT_07,INT_01
1575278223965,-1641019,793674,543713,15853,BYPASS,INT_53
1575278223965,-1641019,793674,543713,15853,INT_53,INT_64
1575278223965,-1641045,798353,543692,17114,BYPASS,INT_53
1575278223965,-1641045,798353,543692,17114,INT_53,INT_64
1575278223965,-1641605,801508,543714,18661,BYPASS,INT_53
1575278223965,-1641605,801508,543714,18661,INT_53,INT_64
1575278223965,-1642838,804822,543716,20922,BYPASS,INT_53
1575278223965,-1642838,804822,543716,20922,INT_53,INT_64
1575278223965,-1644053,806855,543722,22774,BYPASS,INT_53
1575278223965,-1644053,806855,543722,22774,INT_53,INT_64
1575278223965,-1645544,808628,543731,24241,BYPASS,INT_53
1575278223965,-1645544,808628,543731,24241,INT_53,INT_64
1575278223965,-1647285,810020,543711,26347,BYPASS,INT_53
1575278223965,-1647285,810020,543711,26347,INT_53,INT_64
1575278223965,-1650276,811357,543729,29009,BYPASS,INT_53
1575278223965,-1650276,811357,543729,29009,INT_53,INT_64
1575278223965,-1652396,811774,543687,31696,BYPASS,INT_53
1575278223965,-1652396,811774,543687,31696,INT_53,INT_64
1575278223965,-1654766,812025,543763,32376,BYPASS,INT_53
1575278223965,-1654766,812025,543763,32376,INT_53,INT_64
1575278223965,-1672073,811969,543666,31599,BYPASS,INT_53
1575278223965,-1672073,811969,543666,31599,INT_53,INT_64
1584114384349,-4995077,-1415530,516978,17786,INT_01,INT_07
1584114384349,-4997430,-1386385,517346,17173,INT_01,INT_07
1584114384349,-5000265,-1356552,517838,17409,INT_01,INT_07
1584114384349,-5002739,-1335677,518350,17700,INT_01,INT_07
1584114384349,-5006229,-1312500,518904,18012,INT_01,INT_07
1584114384349,-5010211,-1291708,519775,18522,INT_01,INT_07
1584114384349,-5014960,-1271604,520343,19161,INT_01,INT_07
1584114384349,-5017210,-1263241,520498,19383,INT_01,INT_07
1585787853529,-5864783,-97294,510175,-30155,INT_39,INT_31
1585787853529,-5874384,-99419,510033,-30708,INT_39,INT_31
1585787853529,-5892742,-102594,509740,-31132,INT_39,INT_31
1585787853529,-5902516,-103949,509528,-31541,INT_39,INT_31
1585787853529,-5932389,-106464,508890,-32039,INT_39,INT_31
1585787853529,-5961271,-109332,508526,-31608,INT_39,INT_31
1585787853529,-5981198,-111718,508678,-31464,INT_39,INT_31
1587328977852,-1600286,511911,543044,18912,INT_62,GATE_09
1587328977852,-1606733,537260,542981,18998,INT_62,GATE_09
1587328977852,-1614085,564140,542954,19241,INT_62,GATE_09
1587328977852,-1621627,591513,542938,19121,INT_62,GATE_09
1587328977852,-1625833,606327,543020,19399,INT_62,GATE_09
1587328977852,-1627832,612880,543066,19437,INT_62,GATE_09
1588187279364,-5834212,-702720,535472,27793,INT_28,INT_149
1588187279364,-5860689,-688872,535634,27583,INT_28,INT_149
1588187279364,-5885796,-675877,535778,27911,INT_28,INT_149
1588187279364,-5910532,-661852,535567,27340,INT_28,INT_149
1588187279364,-5913385,-660274,535478,27071,INT_28,INT_149
1588187279364,-5925374,-651632,535513,26035,INT_28,INT_149
1588187279364,-5938302,-641487,535431,25518,INT_28,INT_149
1588187279364,-5945835,-634581,535405,24769,INT_28,INT_149
1588187279364,-5959927,-620528,535410,24828,INT_28,INT_149
1588187279364,-5970364,-610597,535461,24667,INT_28,INT_149
1588187279364,-5977423,-602614,535602,23885,INT_28,INT_149
1588187279364,-5985352,-592738,535736,23530,INT_28,INT_149
1588187279364,-5997565,-576755,535668,23029,INT_28,INT_149
1588187279364,-6005590,-566275,535718,23679,INT_28,INT_149
1588189765184,-5977802,-550756,535511,-9718,INT_149,INT_28
1588189765184,-5963900,-568726,535443,-9293,INT_149,INT_28
1588189765184,-5954049,-580430,535449,-8913,INT_149,INT_28
1588189765184,-5946619,-588487,535522,-8328,INT_149,INT_28
1588189765184,-5937147,-597787,535467,-7835,INT_149,INT_28
1588189765184,-5928218,-605770,535350,-7339,INT_149,INT_28
1588189765184,-5915772,-615813,535393,-6869,INT_149,INT_28
1588189765184,-5899870,-627397,535407,-6402,INT_149,INT_28
1588189765184,-5885115,-637589,535303,-6110,INT_149,INT_28
1588189765184,-5860292,-653052,535392,-5752,INT_149,INT_28
1588189765184,-5848803,-659903,535545,-5351,INT_149,INT_28
1588189765184,-5826084,-672025,535493,-5092,INT_149,INT_28
1588189765184,-5825084,-672600,535507,-5234,INT_149,INT_28
1592081108432,-5840262,-942808,524997,-25847,INT_21,INT_146
1592081108432,-5853104,-953575,525087,-25300,INT_21,INT_146
1592081108432,-5875798,-973104,525554,-25285,INT_21,INT_146
1592081108432,-5897405,-992068,527024,-25308,INT_21,INT_146
1592081108432,-5919047,-1010882,528541,-25070,INT_21,INT_146
1592081108432,-5939638,-1029428,530090,-24991,INT_21,INT_146
1592081108432,-5956824,-1045717,530826,-24748,INT_21,INT_146
1592081108432,-5966279,-1054702,530897,-25168,INT_21,INT_146
1592081108432,-5978630,-1065804,530892,-24904,INT_21,INT_146
1592081108432,-5995686,-1081360,530640,-25312,INT_21,INT_146
1592081108432,-6011950,-1095107,530512,-25488,INT_21,INT_146
1592081108432,-6022508,-1103294,530587,-26101,INT_21,INT_146
1592081229731,-6055424,-1124494,530738,-27665,INT_146,INT_13
1592081229731,-6063707,-1128466,530749,-28497,INT_146,INT_13
1592081229731,-6071989,-1131659,530810,-29202,INT_146,INT_13
1592081229731,-6086426,-1136059,530961,-29813,INT_146,INT_13
1592081229731,-6101130,-1139818,531088,-30400,INT_146,INT_13
1592081229731,-6120367,-1143754,531342,-30815,INT_146,INT_13
1592081229731,-6143121,-1147912,531715,-31193,INT_146,INT_13
1592081229731,-6158144,-1149871,532010,-31306,INT_146,INT_13
1598556634910,-6030369,-1071512,530509,6917,INT_146,INT_21
1598556634910,-6024224,-1066611,530500,7373,INT_146,INT_21
1598556634910,-6002323,-1047054,530470,7574,INT_146,INT_21
1598556634910,-5981198,-1027915,530413,7742,INT_146,INT_21
1598556634910,-5961530,-1009963,529965,7670,INT_146,INT_21
1598556634910,-5940724,-991678,528422,7589,INT_146,INT_21
1598556634910,-5919685,-973810,526966,7346,INT_146,INT_21
1598556634910,-5898664,-955747,525473,7396,INT_146,INT_21
1598556634910,-5881659,-940887,524802,7607,INT_146,INT_21
1598556634910,-5869075,-929405,524747,7315,INT_146,INT_21
1598556634910,-5865127,-925423,524618,8151,INT_146,INT_21
1598556634910,-5860921,-921311,524658,8575,INT_146,INT_21
1598556634910,-5858948,-919325,524674,7783,INT_146,INT_21
1598664712798,-5401397,-584811,524587,-23753,INT_42,INT_15
1598664712798,-5411903,-597453,525005,-23452,INT_42,INT_15
1598664712798,-5419936,-607608,525147,-23080,INT_42,INT_15
1598664712798,-5434605,-626738,525142,-23400,INT_42,INT_15
1598664712798,-5449947,-645515,525194,-23367,INT_42,INT_15
1598664712798,-5453946,-650723,525182,-23053,INT_42,INT_15
1598713416235,-5471089,-622357,525482,10212,INT_15,INT_42
1598713416235,-5458997,-606893,525015,8804,INT_15,INT_42
1598713416235,-5451723,-597620,524951,9228,INT_15,INT_42
1598713416235,-5445129,-588932,524781,9281,INT_15,INT_42
1598713416235,-5436855,-577776,524699,9978,INT_15,INT_42
1598713416235,-5430744,-567770,524589,11000,INT_15,INT_42
1598713416235,-5429262,-565096,524571,11366,INT_15,INT_42
1602314533214,-5604760,-427157,525791,28083,INT_44,INT_55
1602314533214,-5629513,-412835,526039,27302,INT_44,INT_55
1602314533214,-5654930,-398318,525852,27368,INT_44,INT_55
1602314533214,-5673219,-387532,525900,27128,INT_44,INT_55
1602314690576,-5700895,-367919,525986,26994,INT_55,INT_29
1602314690576,-5717658,-355686,526094,25964,INT_55,INT_29
1602314690576,-5736568,-340779,526006,25681,INT_55,INT_29
1602314690576,-5758943,-322632,526116,25490,INT_55,INT_29
1602314690576,-5768044,-315095,526184,25498,INT_55,INT_29
1602314901353,-5789609,-296652,526223,25320,INT_29,INT_16
1602314901353,-5811673,-278385,526157,25593,INT_29,INT_16
1602314901353,-5834953,-259478,525858,25735,INT_29,INT_16
1602314901353,-5851829,-246409,525842,25891,INT_29,INT_16
